loma,hormat ka sorangan,hormat ka batur,kecap
akang,akang,engkang,Gaganti ngaran
kuring,abdi,,Gaganti ngaran
kuring sarerea,abdi sadayana,,Gaganti ngaran
pribadi,pribados,ku anjeun,Gaganti ngaran
sorangan,sorangan,nyalira,Gaganti ngaran
adi,pun adi,tuang rai,Pancakaki
aki,pun aki,tuang eyang,Pancakaki
alo,pun alo,kapiputra,Pancakaki
anak,pun anak,tuang putra,Pancakaki
bapa,pun bapa,tuang rama,Pancakaki
baraya,rerehan,wargi,Pancakaki
bibi,pun bibi,tuang ibu,Pancakaki
budak,budak,murangkalih,Pancakaki
cikal,anak cikal,putra pangageungna,Pancakaki
deungeun deungeun,nu sanes,nu sanes,Pancakaki
incu,pun incu,tuang putu,Pancakaki
indung,pun biang,tuang ibu,Pancakaki
kolot,kolot,sepuh,Pancakaki
lanceuk,pun lanceuk,tuang raka,Pancakaki
minantu,minantu,mantu,Pancakaki
mitoha,mertua,mertua,Pancakaki
nini,pun nini,tuang eyang,Pancakaki
pamajikan,pun bojo,tuang rai,Pancakaki
paman,pun paman,tuang rama,Pancakaki
salaki,pun lanceuk,caroge,Pancakaki
tere,tere,kawalon,Pancakaki
ali,ali,cingcin,Pakean
baju,baju,raksukan,Pakean
bendo,bendo,udeng,Pakean
beubeur,beubeur,beulitan,Pakean
calana,calana,lancingan,Pakean
carecet,carecet,salempay,Pakean
gelung,gelung,sanggul,Pakean
geulang,geulang,pinggel,Pakean
iket,iket,totopong,Pakean
iteuk,iteuk,teteken,Pakean
karembong,karembong,kekemben,Pakean
keris,keris,duhung,Pakean
kongkorong,kongkorong,kangkalung,Pakean
panitih,panitih,sangketan,Pakean
payung,payung,pajeng,Pakean
sabuk,beubeur,beulitan,Pakean
samping,samping,sinjang,Pakean
sisir,sisir,pameres,Pakean
suweng,suweng,kurabu,Pakean
topi,topi,tudung,Pakean
wedak,wedak,pupur,Pakean
